Method,Accuracy,Detection Rate (Recall),Precision,F1-Score,False Alarm Rate (FAR),Round,Training Time (s)
fuzzy,80.89,28.46,38.25,26.17,8.28,0,
fuzzy,90.8,63.83,59.52,61.19,3.59,1,
fuzzy,92.92,74.94,69.63,71.01,2.31,2,
fuzzy,95.7,91.57,83.51,86.57,0.93,3,
fuzzy,96.19,95.38,84.48,89.09,0.69,4,
fuzzy,96.19,96.15,84.21,89.35,0.66,5,
fuzzy,96.1,95.98,83.98,89.13,0.68,6,
fuzzy,96.21,95.67,84.89,89.52,0.68,7,
fuzzy,96.25,95.34,85.07,89.5,0.69,8,
fuzzy,96.25,95.54,85.01,89.55,0.69,9,
fuzzy,96.33,95.95,85.25,89.86,0.66,10,
fuzzy,96.4,95.87,85.76,90.12,0.65,11,
fuzzy,96.44,96.19,85.77,90.28,0.64,12,
fuzzy,96.42,95.66,85.84,90.09,0.66,13,
fuzzy,96.42,95.11,85.85,89.84,0.67,14,
fuzzy,96.31,96.87,84.67,89.85,0.64,15,
fuzzy,96.33,96.51,84.93,89.9,0.65,16,
fuzzy,96.33,96.54,84.82,89.84,0.64,17,
fuzzy,96.23,96.85,84.14,89.54,0.65,18,
fuzzy,96.29,96.87,84.46,89.75,0.64,19,
fuzzy,96.23,96.85,84.19,89.57,0.65,20,
fuzzy,96.29,97.05,84.42,89.79,0.63,21,
fuzzy,96.27,97.02,84.35,89.75,0.64,22,
fuzzy,96.35,97.04,84.79,90.02,0.63,23,
fuzzy,96.35,97.3,84.64,90.0,0.62,24,
fuzzy,96.44,96.6,85.34,90.19,0.64,25,
fuzzy,96.42,96.81,85.17,90.18,0.63,26,
fuzzy,96.42,97.13,84.93,90.16,0.61,27,
fuzzy,96.38,96.72,84.91,90.0,0.64,28,
fuzzy,96.53,97.21,85.7,90.65,0.6,29,
fuzzy,96.48,96.9,85.6,90.46,0.62,30,
fuzzy,96.55,96.93,85.7,90.54,0.6,31,
fuzzy,96.59,97.25,85.57,90.61,0.58,32,
fuzzy,96.57,97.31,85.66,90.68,0.59,33,
fuzzy,96.48,96.9,85.5,90.4,0.62,34,
fuzzy,96.5,96.9,85.68,90.51,0.62,35,
fuzzy,96.48,96.92,85.38,90.35,0.61,36,
fuzzy,96.53,97.39,85.26,90.49,0.59,37,
fuzzy,96.53,97.15,85.41,90.47,0.6,38,
fuzzy,96.53,97.15,85.35,90.43,0.6,39,
fuzzy,96.48,97.04,85.31,90.34,0.61,40,
fuzzy,96.59,96.85,85.95,90.65,0.6,41,
fuzzy,96.5,96.81,85.77,90.51,0.62,42,
fuzzy,96.52,96.47,85.79,90.38,0.62,43,
fuzzy,96.63,97.23,86.01,90.85,0.58,44,
fuzzy,96.53,96.9,85.73,90.53,0.61,45,
fuzzy,96.63,96.86,86.04,90.71,0.6,46,
fuzzy,96.93,96.95,86.88,91.27,0.55,47,
fuzzy,96.74,96.91,86.28,90.88,0.57,48,
fuzzy,97.1,97.07,87.27,91.56,0.53,49,
fuzzy,97.16,97.63,87.3,91.81,0.5,50,
fuzzy,97.18,97.21,87.67,91.84,0.51,51,
fuzzy,97.2,97.79,87.54,92.02,0.49,52,
fuzzy,97.14,97.75,87.2,91.77,0.5,53,
fuzzy,97.14,97.81,87.25,91.81,0.5,54,
fuzzy,97.14,97.97,86.98,91.72,0.49,55,
fuzzy,97.18,97.5,87.35,91.78,0.5,56,
fuzzy,97.12,98.18,86.86,91.74,0.49,57,
fuzzy,97.18,97.29,87.46,91.75,0.51,58,
fuzzy,97.06,96.36,87.21,91.2,0.56,59,
fuzzy,97.12,98.19,86.86,91.73,0.49,60,
fuzzy,97.18,97.86,87.32,91.91,0.5,61,
fuzzy,97.16,97.79,87.18,91.78,0.49,62,
fuzzy,97.1,97.71,86.92,91.6,0.51,63,
fuzzy,97.12,98.19,86.93,91.77,0.49,64,
fuzzy,97.1,98.04,86.97,91.72,0.51,65,
fuzzy,97.14,97.71,87.31,91.81,0.51,66,
fuzzy,97.2,98.2,87.33,92.02,0.48,67,
fuzzy,97.18,97.83,87.65,92.03,0.51,68,
fuzzy,97.22,98.2,87.47,92.1,0.48,69,
fuzzy,97.12,98.03,87.15,91.83,0.5,70,
fuzzy,97.12,97.74,87.31,91.8,0.52,71,
fuzzy,97.1,97.96,86.97,91.69,0.51,72,
fuzzy,97.12,97.89,87.25,91.82,0.52,73,
fuzzy,97.14,97.92,87.28,91.85,0.51,74,
fuzzy,97.18,97.93,87.51,91.99,0.5,75,
fuzzy,97.12,97.7,87.51,91.89,0.53,76,
fuzzy,97.18,98.15,87.18,91.89,0.48,77,
fuzzy,97.18,98.29,86.98,91.84,0.47,78,
fuzzy,97.16,98.29,86.95,91.82,0.48,79,
fuzzy,97.14,98.43,86.82,91.81,0.47,80,
fuzzy,97.12,98.57,86.59,91.74,0.46,81,
fuzzy,97.12,97.99,86.63,91.54,0.49,82,
fuzzy,97.1,98.02,86.69,91.58,0.5,83,
fuzzy,97.18,97.74,86.97,91.69,0.49,84,
fuzzy,97.1,97.76,86.69,91.49,0.51,85,
fuzzy,97.1,97.62,86.87,91.51,0.52,86,
fuzzy,97.14,97.37,87.14,91.62,0.53,87,
fuzzy,97.24,97.61,87.5,91.94,0.49,88,
fuzzy,97.14,97.66,86.76,91.52,0.5,89,
fuzzy,97.08,97.83,86.49,91.4,0.5,90,
fuzzy,97.12,97.84,86.7,91.54,0.5,91,
fuzzy,97.05,97.64,86.43,91.31,0.52,92,
fuzzy,97.08,97.9,86.36,91.34,0.5,93,
fuzzy,97.08,97.9,86.36,91.34,0.5,94,
fuzzy,97.14,97.92,86.71,91.56,0.49,95,
fuzzy,97.05,97.97,86.34,91.38,0.5,96,
fuzzy,96.95,97.88,86.11,91.2,0.52,97,
fuzzy,97.16,97.85,87.02,91.72,0.49,98,
fuzzy,97.08,97.9,86.55,91.47,0.5,99,1948.49
