Method,Accuracy,Detection Rate (Recall),Precision,F1-Score,False Alarm Rate (FAR),Round,Training Time (s)
fedavg,80.69,28.32,23.68,25.79,8.27,0,
fedavg,94.47,81.88,70.99,75.38,1.5,1,
fedavg,95.3,94.7,81.43,86.91,1.0,2,
fedavg,94.93,96.75,78.75,85.65,0.88,3,
fedavg,95.49,96.73,80.57,87.15,0.79,4,
fedavg,95.78,95.73,81.89,87.67,0.81,5,
fedavg,95.82,95.88,82.47,88.12,0.79,6,
fedavg,95.89,95.4,83.86,88.77,0.85,7,
fedavg,96.0,97.36,82.64,88.81,0.7,8,
fedavg,96.06,96.83,83.22,89.0,0.69,9,
fedavg,96.12,96.91,83.49,89.18,0.66,10,
fedavg,95.76,97.05,81.09,87.65,0.7,11,
fedavg,96.02,96.47,82.92,88.61,0.67,12,
fedavg,96.19,97.41,83.58,89.41,0.64,13,
fedavg,95.97,96.17,83.92,89.11,0.76,14,
fedavg,96.25,96.28,84.54,89.48,0.67,15,
fedavg,96.36,96.76,84.98,89.93,0.62,16,
fedavg,96.35,97.4,84.57,89.99,0.61,17,
fedavg,96.33,96.75,84.72,89.8,0.63,18,
fedavg,96.36,96.98,84.99,90.03,0.62,19,
fedavg,96.38,96.36,85.76,90.23,0.68,20,
fedavg,96.12,94.18,84.84,88.53,0.75,21,
fedavg,96.4,97.27,85.4,90.41,0.62,22,
fedavg,96.25,96.65,85.14,90.09,0.69,23,
fedavg,96.17,94.47,85.69,88.94,0.72,24,
fedavg,96.16,94.78,85.23,89.27,0.8,25,
fedavg,96.17,95.35,84.22,88.86,0.7,26,
fedavg,96.16,94.72,85.2,89.05,0.75,27,
fedavg,96.08,94.57,85.01,88.71,0.74,28,
fedavg,96.29,96.27,85.0,89.72,0.66,29,
fedavg,96.57,95.62,87.24,90.67,0.65,30,
fedavg,96.57,96.72,87.08,91.11,0.62,31,
fedavg,96.25,93.5,86.38,88.91,0.75,32,
fedavg,96.5,95.45,86.83,90.36,0.66,33,
fedavg,96.42,95.59,86.54,90.24,0.67,34,
fedavg,96.48,94.66,87.06,90.0,0.68,35,
fedavg,96.52,96.26,86.67,90.66,0.63,36,
fedavg,96.33,93.71,86.27,89.11,0.72,37,
fedavg,96.1,92.61,85.83,88.5,0.85,38,
fedavg,96.74,93.62,88.37,90.14,0.69,39,
fedavg,96.31,93.41,86.86,89.12,0.74,40,
fedavg,96.48,93.51,87.91,90.03,0.79,41,
fedavg,96.5,95.14,86.89,90.25,0.67,42,
fedavg,96.61,92.19,87.89,89.36,0.79,43,
fedavg,96.25,93.11,87.09,89.19,0.79,44,
fedavg,95.76,89.17,88.31,87.67,1.25,45,
fedavg,96.08,89.0,88.9,87.9,1.13,46,
fedavg,95.83,86.88,90.25,86.71,1.31,47,
fedavg,96.78,95.17,88.57,91.23,0.68,48,
fedavg,96.42,94.47,87.8,90.45,0.76,49,
fedavg,96.42,90.47,89.19,88.64,0.9,50,
fedavg,95.95,88.78,87.71,86.37,0.98,51,
fedavg,96.42,90.87,88.64,88.72,0.89,52,
fedavg,96.67,93.72,88.11,90.12,0.72,53,
fedavg,95.74,88.29,90.58,87.37,1.37,54,
fedavg,96.53,95.04,87.4,90.26,0.65,55,
