Method,Accuracy,Detection Rate (Recall),Precision,F1-Score,False Alarm Rate (FAR),Round,Training Time (s)
fedprox,89.47,52.12,50.45,50.79,4.14,0,
fedprox,94.15,96.26,76.68,83.74,0.98,1,
fedprox,95.63,96.47,81.55,87.72,0.78,2,
fedprox,95.78,96.19,82.48,88.1,0.77,3,
fedprox,95.87,96.45,82.91,88.51,0.76,4,
fedprox,95.82,95.96,82.47,88.0,0.74,5,
fedprox,95.93,96.87,82.84,88.62,0.7,6,
fedprox,95.93,95.45,83.46,88.41,0.78,7,
fedprox,95.99,96.22,83.35,88.73,0.74,8,
fedprox,96.12,96.9,83.54,89.12,0.68,9,
fedprox,96.02,96.93,83.16,88.85,0.67,10,
fedprox,96.04,95.9,83.58,88.67,0.71,11,
fedprox,96.14,97.15,83.65,89.31,0.67,12,
fedprox,96.14,97.43,83.5,89.34,0.65,13,
fedprox,96.14,97.51,83.67,89.45,0.65,14,
fedprox,96.14,97.51,83.6,89.42,0.65,15,
fedprox,96.12,97.5,83.52,89.36,0.65,16,
fedprox,96.12,97.07,83.56,89.22,0.66,17,
fedprox,96.06,97.42,83.02,89.04,0.67,18,
fedprox,96.08,95.19,83.7,88.46,0.73,19,
fedprox,96.08,96.35,83.47,88.83,0.68,20,
fedprox,96.06,96.41,83.45,88.85,0.69,21,
fedprox,96.0,95.61,83.29,88.39,0.72,22,
fedprox,95.95,95.81,82.86,88.24,0.72,23,
fedprox,95.97,96.18,82.83,88.4,0.7,24,
fedprox,96.02,95.97,83.17,88.53,0.7,25,
fedprox,96.12,97.5,83.18,89.18,0.65,26,
fedprox,96.06,97.13,83.05,88.95,0.66,27,
fedprox,96.06,97.35,83.04,89.02,0.66,28,
fedprox,96.02,96.26,83.06,88.59,0.69,29,
fedprox,96.04,96.27,83.09,88.62,0.69,30,
fedprox,96.06,96.7,83.15,88.82,0.68,31,
fedprox,95.99,95.53,83.03,88.25,0.73,32,
fedprox,96.02,95.61,83.17,88.38,0.71,33,
fedprox,96.16,97.8,83.29,89.38,0.63,34,
fedprox,96.17,97.08,83.63,89.3,0.66,35,
fedprox,96.08,96.27,83.35,88.78,0.69,36,
fedprox,96.19,97.59,83.57,89.47,0.64,37,
fedprox,96.17,97.3,83.64,89.4,0.65,38,
fedprox,96.12,96.5,83.48,88.97,0.68,39,
fedprox,96.08,95.41,83.51,88.47,0.71,40,
fedprox,96.17,97.45,83.49,89.36,0.64,41,
fedprox,96.16,97.23,83.5,89.26,0.65,42,
fedprox,96.38,97.56,84.03,89.75,0.61,43,
