Round,Threshold,Client_0,Client_1,Client_2,Client_3,Client_4,Client_5,Client_6,Client_7,Client_8,Client_9,Client_10,Client_11,Client_12,Client_13,Client_14,Client_15,Client_16,Client_17,Client_18,Client_19
0,0.1,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
1,0.1,1.0,1.0,0.81,0.81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0
2,0.1,1.0,1.0,0.7290000000000001,0.7290000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7290000000000001,1.0
3,0.5852334296689659,0.2,0.9,0.1458,0.1458,0.9,1.0,0.2,1.0,0.9,1.0,0.9,1.0,1.0,0.9,1.0,0.9,1.0,0.9,0.1458,1.0
4,0.5151356701053509,0.04000000000000001,0.81,0.029160000000000005,0.029160000000000005,0.81,1.0,0.18000000000000002,1.0,0.81,1.0,0.9500000000000001,1.0,1.0,0.81,1.0,0.81,1.0,0.81,0.029160000000000005,1.0
5,0.48380220322001144,0.008000000000000002,0.7290000000000001,0.005832000000000001,0.005832000000000001,0.7290000000000001,1.0,0.16200000000000003,1.0,0.7290000000000001,1.0,1.0,1.0,1.0,0.7290000000000001,1.0,0.7290000000000001,1.0,0.7290000000000001,0.005832000000000001,1.0
6,0.45944113225431193,0.0016000000000000005,0.6561000000000001,0.0011664000000000004,0.0011664000000000004,0.6561000000000001,1.0,0.14580000000000004,1.0,0.6561000000000001,1.0,1.0,1.0,1.0,0.6561000000000001,1.0,0.6561000000000001,1.0,0.6561000000000001,0.0011664000000000004,1.0
7,0.4433580349249775,0.00032000000000000013,0.5904900000000002,0.0002332800000000001,0.0002332800000000001,0.5904900000000002,1.0,0.13122000000000003,1.0,0.7061000000000002,1.0,1.0,1.0,1.0,0.5904900000000002,1.0,0.5904900000000002,1.0,0.5904900000000002,0.0002332800000000001,1.0
8,0.4282837466699767,6.400000000000002e-05,0.5314410000000002,4.665600000000002e-05,4.665600000000002e-05,0.5314410000000002,1.0,0.11809800000000004,1.0,0.7561000000000002,1.0,1.0,1.0,1.0,0.5314410000000002,1.0,0.5314410000000002,1.0,0.5314410000000002,4.665600000000002e-05,1.0
9,0.4198071922413778,1.2800000000000006e-05,0.47829690000000014,9.331200000000005e-06,9.331200000000005e-06,0.5814410000000002,1.0,0.10628820000000004,1.0,0.8061000000000003,1.0,1.0,1.0,1.0,0.47829690000000014,1.0,0.47829690000000014,1.0,0.47829690000000014,9.331200000000005e-06,1.0
10,0.41180739949605166,2.5600000000000013e-06,0.43046721000000016,1.8662400000000011e-06,1.8662400000000011e-06,0.6314410000000003,1.0,0.09565938000000004,1.0,0.8561000000000003,1.0,1.0,1.0,1.0,0.43046721000000016,1.0,0.43046721000000016,1.0,0.43046721000000016,1.8662400000000011e-06,1.0
11,0.40432373685399925,5.120000000000002e-07,0.38742048900000015,3.7324800000000025e-07,3.7324800000000025e-07,0.6814410000000003,1.0,0.08609344200000005,1.0,0.9061000000000003,1.0,1.0,1.0,1.0,0.38742048900000015,1.0,0.38742048900000015,1.0,0.38742048900000015,3.7324800000000025e-07,1.0
